flow_id,src,dst,flow_size,event_time,establish,idx
flow_5824,10,38,10000,0.0,1,0
flow_5496,27,30,10000,8017.829360448512,1,1
flow_5515,31,15,10000,16035.658720897023,1,2
flow_2028,36,44,100000,24053.488081345535,1,3
flow_5483,60,41,10000,32071.317441794046,1,4
flow_2946,9,41,100000,40089.146802242554,1,5
flow_3541,48,44,10000,48106.97616269106,1,6
flow_4482,10,6,10000,56124.80552313957,1,7
flow_4200,63,0,10000,64142.63488358808,1,8
flow_5454,14,22,10000,72160.46424403659,1,9
flow_1382,31,42,100000,80178.2936044851,1,10
flow_450,44,42,1000000,88196.1229649336,1,11
flow_3921,31,63,10000,96213.95232538211,1,12
flow_4221,0,16,10000,104231.78168583062,1,13
flow_2212,45,50,100000,112249.61104627913,1,14
flow_2345,22,15,100000,120267.44040672763,1,15
flow_1889,54,17,100000,128285.26976717614,1,16
flow_890,46,22,1000000,136303.09912762465,1,17
flow_3429,60,41,10000,144320.92848807317,1,18
flow_134,27,42,1000000,152338.7578485217,1,19
flow_62,22,18,1000000,160356.58720897022,1,20
flow_2459,27,53,100000,168374.41656941874,1,21
flow_3529,12,47,10000,176392.24592986726,1,22
flow_1647,9,20,100000,184410.07529031578,1,23
flow_4426,17,20,10000,192427.9046507643,1,24
flow_2724,31,26,100000,200445.73401121283,1,25
flow_713,53,35,1000000,208463.56337166135,1,26
flow_5096,1,49,10000,216481.39273210987,1,27
flow_4704,28,27,10000,224499.2220925584,1,28
flow_1872,29,53,100000,232517.05145300692,1,29
flow_444,14,20,1000000,240534.88081345544,1,30
flow_3501,13,24,10000,248552.71017390396,1,31
flow_4202,13,12,10000,256570.5395343525,1,32
flow_5586,22,19,10000,264588.368894801,1,33
flow_5143,22,48,10000,272606.19825524953,1,34
flow_4850,40,9,10000,280624.02761569805,1,35
flow_3211,37,54,10000,288641.8569761466,1,36
flow_1707,7,25,100000,296659.6863365951,1,37
flow_91,9,54,1000000,304677.5156970436,1,38
flow_3044,37,45,10000,312695.34505749214,1,39
flow_4635,11,35,10000,320713.17441794067,1,40
flow_5125,21,9,10000,328731.0037783892,1,41
flow_5758,56,15,10000,336748.8331388377,1,42
flow_785,62,16,1000000,344766.66249928623,1,43
flow_3701,42,28,10000,352784.49185973476,1,44
flow_2316,52,46,100000,360802.3212201833,1,45
flow_1440,13,5,100000,368820.1505806318,1,46
flow_2751,46,55,100000,376837.9799410803,1,47
flow_3057,31,19,10000,384855.80930152885,1,48
flow_2838,58,29,100000,392873.63866197737,1,49
flow_4077,2,28,10000,400891.4680224259,1,50
flow_750,59,16,1000000,408909.2973828744,1,51
flow_4729,17,13,10000,416927.12674332294,1,52
flow_1375,6,57,100000,424944.95610377146,1,53
flow_4840,46,4,10000,432962.78546422,1,54
flow_5138,58,8,10000,440980.6148246685,1,55
flow_1046,61,8,1000000,448998.444185117,1,56
flow_850,51,2,1000000,457016.27354556555,1,57
flow_2477,19,40,100000,465034.1029060141,1,58
flow_1548,14,35,100000,473051.9322664626,1,59
flow_4492,46,17,10000,481069.7616269111,1,60
flow_2363,40,41,100000,489087.59098735964,1,61
flow_3560,40,54,10000,497105.42034780816,1,62
flow_3385,39,54,10000,505123.2497082567,1,63
flow_3314,10,14,10000,513141.0790687052,1,64
flow_5673,31,23,10000,521158.90842915373,1,65
flow_5875,4,9,10000,529176.7377896023,1,66
flow_4226,50,29,10000,537194.5671500508,1,67
flow_5660,47,25,10000,545212.3965104993,1,68
flow_3700,23,33,10000,553230.2258709478,1,69
flow_3654,41,8,10000,561248.0552313963,1,70
flow_1040,20,34,1000000,569265.8845918449,1,71
flow_2054,37,13,100000,577283.7139522934,1,72
flow_3351,28,14,10000,585301.5433127419,1,73
flow_3845,14,29,10000,593319.3726731904,1,74
flow_638,22,50,1000000,601337.202033639,1,75
flow_2826,47,61,100000,609355.0313940875,1,76
flow_3554,8,10,10000,617372.860754536,1,77
flow_2596,13,43,100000,625390.6901149845,1,78
flow_2075,27,49,100000,633408.519475433,1,79
flow_2445,41,59,100000,641426.3488358816,1,80
flow_365,40,46,1000000,649444.1781963301,1,81
flow_4541,56,5,10000,657462.0075567786,1,82
flow_677,16,63,1000000,665479.8369172271,1,83
flow_832,63,30,1000000,673497.6662776757,1,84
flow_1221,5,34,100000,681515.4956381242,1,85
flow_784,62,42,1000000,689533.3249985727,1,86
flow_3835,23,35,10000,697551.1543590212,1,87
flow_4536,57,23,10000,705568.9837194697,1,88
flow_5917,3,18,10000,713586.8130799183,1,89
flow_2867,34,29,100000,721604.6424403668,1,90
flow_2975,6,54,100000,729622.4718008153,1,91
flow_2762,52,53,100000,737640.3011612638,1,92
flow_4496,39,12,10000,745658.1305217124,1,93
flow_5833,17,57,10000,753675.9598821609,1,94
flow_5517,51,34,10000,761693.7892426094,1,95
flow_5071,17,19,10000,769711.6186030579,1,96
flow_633,35,17,1000000,777729.4479635064,1,97
flow_2651,7,48,100000,785747.277323955,1,98
flow_5285,4,41,10000,793765.1066844035,1,99
flow_5282,56,37,10000,801782.936044852,1,100
flow_5644,45,31,10000,809800.7654053005,1,101
flow_4443,60,37,10000,817818.5947657491,1,102
flow_5652,56,31,10000,825836.4241261976,1,103
flow_2409,28,31,100000,833854.2534866461,1,104
flow_4318,31,15,10000,841872.0828470946,1,105
flow_554,26,28,1000000,849889.9122075432,1,106
flow_911,50,16,1000000,857907.7415679917,1,107
flow_959,0,26,1000000,865925.5709284402,1,108
flow_3930,48,39,10000,873943.4002888887,1,109
flow_2088,7,58,100000,881961.2296493372,1,110
flow_3710,46,44,10000,889979.0590097858,1,111
flow_600,40,26,1000000,897996.8883702343,1,112
flow_3797,34,41,10000,906014.7177306828,1,113
flow_5928,19,6,10000,914032.5470911313,1,114
flow_226,50,58,1000000,922050.3764515799,1,115
flow_3537,8,57,10000,930068.2058120284,1,116
flow_4691,14,4,10000,938086.0351724769,1,117
flow_2699,7,42,100000,946103.8645329254,1,118
flow_262,8,16,1000000,954121.693893374,1,119
flow_492,32,53,1000000,962139.5232538225,1,120
flow_1753,18,3,100000,970157.352614271,1,121
flow_3285,22,19,10000,978175.1819747195,1,122
flow_5695,44,27,10000,986193.011335168,1,123
flow_1276,25,4,100000,994210.8406956166,1,124
flow_418,37,53,1000000,1002228.6700560651,1,125
flow_5953,22,29,10000,1010246.4994165136,1,126
flow_3077,22,48,10000,1018264.3287769621,1,127
flow_126,58,45,1000000,1026282.1581374106,1,128
flow_5181,43,55,10000,1034299.9874978592,1,129
flow_1405,54,19,100000,1042317.8168583077,1,130
flow_1823,9,0,100000,1050335.6462187562,1,131
flow_45,21,31,1000000,1058353.4755792047,1,132
flow_2492,43,62,100000,1066371.3049396533,1,133
flow_5963,47,4,10000,1074389.1343001018,1,134
flow_1308,62,22,100000,1082406.9636605503,1,135
flow_908,58,9,1000000,1090424.7930209988,1,136
flow_5120,20,27,10000,1098442.6223814473,1,137
flow_3437,16,49,10000,1106460.4517418959,1,138
flow_3774,48,9,10000,1114478.2811023444,1,139
flow_188,24,63,1000000,1122496.110462793,1,140
flow_5262,12,41,10000,1130513.9398232414,1,141
flow_586,13,61,1000000,1138531.76918369,1,142
flow_4269,39,60,10000,1146549.5985441385,1,143
flow_4812,38,62,10000,1154567.427904587,1,144
flow_697,51,24,1000000,1162585.2572650355,1,145
flow_1987,37,24,100000,1170603.086625484,1,146
flow_3792,51,46,10000,1178620.9159859326,1,147
flow_100,43,57,1000000,1186638.745346381,1,148
flow_5563,44,33,10000,1194656.5747068296,1,149
flow_1929,44,1,100000,1202674.4040672781,1,150
flow_670,39,56,1000000,1210692.2334277267,1,151
flow_1252,13,54,100000,1218710.0627881752,1,152
flow_4699,61,14,10000,1226727.8921486237,1,153
flow_573,48,45,1000000,1234745.7215090722,1,154
flow_1661,61,46,100000,1242763.5508695208,1,155
flow_1605,47,56,100000,1250781.3802299693,1,156
flow_2626,54,18,100000,1258799.2095904178,1,157
flow_4855,14,42,10000,1266817.0389508663,1,158
flow_5977,31,13,10000,1274834.8683113148,1,159
flow_2351,3,48,100000,1282852.6976717634,1,160
flow_4012,42,34,10000,1290870.527032212,1,161
flow_5430,56,58,10000,1298888.3563926604,1,162
flow_1710,29,60,100000,1306906.185753109,1,163
flow_992,4,42,1000000,1314924.0151135575,1,164
flow_4679,56,42,10000,1322941.844474006,1,165
flow_2755,11,21,100000,1330959.6738344545,1,166
flow_5061,0,14,10000,1338977.503194903,1,167
flow_669,10,32,1000000,1346995.3325553515,1,168
flow_2531,16,21,100000,1355013.1619158,1,169
flow_4726,61,57,10000,1363030.9912762486,1,170
flow_5406,25,50,10000,1371048.820636697,1,171
flow_2985,41,39,10000,1379066.6499971456,1,172
flow_3329,2,62,10000,1387084.4793575942,1,173
flow_1007,49,1,1000000,1395102.3087180427,1,174
flow_1580,13,56,100000,1403120.1380784912,1,175
flow_4788,25,59,10000,1411137.9674389397,1,176
flow_2851,51,45,100000,1419155.7967993882,1,177
flow_4580,16,49,10000,1427173.6261598368,1,178
flow_5359,10,21,10000,1435191.4555202853,1,179
flow_5754,43,12,10000,1443209.2848807338,1,180
flow_5981,54,33,10000,1451227.1142411823,1,181
flow_4593,21,52,10000,1459244.9436016309,1,182
flow_3288,10,46,10000,1467262.7729620794,1,183
flow_3950,14,42,10000,1475280.602322528,1,184
flow_3067,43,46,10000,1483298.4316829764,1,185
flow_3532,19,36,10000,1491316.261043425,1,186
flow_4233,46,37,10000,1499334.0904038735,1,187
flow_5200,58,34,10000,1507351.919764322,1,188
flow_2788,43,59,100000,1515369.7491247705,1,189
flow_1794,55,41,100000,1523387.578485219,1,190
flow_4662,13,55,10000,1531405.4078456676,1,191
flow_544,49,5,1000000,1539423.237206116,1,192
flow_5932,52,8,10000,1547441.0665665646,1,193
flow_3739,18,23,10000,1555458.8959270131,1,194
flow_2509,57,24,100000,1563476.7252874617,1,195
flow_65,46,12,1000000,1571494.5546479102,1,196
flow_4716,2,0,10000,1579512.3840083587,1,197
flow_4236,57,33,10000,1587530.2133688072,1,198
flow_4433,35,45,10000,1595548.0427292557,1,199
flow_543,24,61,1000000,1603565.8720897043,1,200
flow_3612,56,7,10000,1611583.7014501528,1,201
flow_1067,15,7,1000000,1619601.5308106013,1,202
flow_358,7,29,1000000,1627619.3601710498,1,203
flow_5307,8,61,10000,1635637.1895314984,1,204
flow_3024,7,16,10000,1643655.0188919469,1,205
flow_4512,48,55,10000,1651672.8482523954,1,206
flow_4647,6,34,10000,1659690.677612844,1,207
flow_1541,63,62,100000,1667708.5069732924,1,208
flow_5366,21,8,10000,1675726.336333741,1,209
flow_1049,62,54,1000000,1683744.1656941895,1,210
flow_1906,10,24,100000,1691761.995054638,1,211
flow_4525,58,11,10000,1699779.8244150865,1,212
flow_4191,54,21,10000,1707797.653775535,1,213
flow_2431,3,35,100000,1715815.4831359836,1,214
flow_4712,8,42,10000,1723833.312496432,1,215
flow_3412,52,55,10000,1731851.1418568806,1,216
flow_5017,55,19,10000,1739868.9712173291,1,217
flow_4133,15,6,10000,1747886.8005777777,1,218
flow_2440,57,47,100000,1755904.6299382262,1,219
flow_1246,21,63,100000,1763922.4592986747,1,220
flow_2411,32,36,100000,1771940.2886591232,1,221
flow_4270,26,6,10000,1779958.1180195718,1,222
flow_4291,59,0,10000,1787975.9473800203,1,223
flow_390,50,1,1000000,1795993.7767404688,1,224
flow_5591,45,21,10000,1804011.6061009173,1,225
flow_312,28,7,1000000,1812029.4354613659,1,226
flow_4497,61,34,10000,1820047.2648218144,1,227
flow_3473,54,45,10000,1828065.094182263,1,228
flow_3260,18,9,10000,1836082.9235427114,1,229
flow_5947,46,51,10000,1844100.75290316,1,230
flow_4891,25,10,10000,1852118.5822636085,1,231
flow_5034,11,14,10000,1860136.411624057,1,232
flow_2426,18,40,100000,1868154.2409845055,1,233
flow_1291,5,29,100000,1876172.070344954,1,234
flow_981,52,30,1000000,1884189.8997054026,1,235
flow_1045,26,32,1000000,1892207.729065851,1,236
flow_2452,46,49,100000,1900225.5584262996,1,237
flow_2576,48,42,100000,1908243.3877867481,1,238
flow_3598,22,60,10000,1916261.2171471966,1,239
flow_50,21,27,1000000,1924279.0465076452,1,240
flow_602,6,17,1000000,1932296.8758680937,1,241
flow_2910,48,63,100000,1940314.7052285422,1,242
flow_4062,9,53,10000,1948332.5345889907,1,243
flow_325,5,63,1000000,1956350.3639494393,1,244
flow_1318,43,3,100000,1964368.1933098878,1,245
flow_4262,7,46,10000,1972386.0226703363,1,246
flow_5264,0,44,10000,1980403.8520307848,1,247
flow_5128,27,36,10000,1988421.6813912333,1,248
flow_1965,63,57,100000,1996439.5107516819,1,249
flow_5774,26,58,10000,2004457.3401121304,1,250
flow_5923,56,63,10000,2012475.169472579,1,251
flow_3907,2,61,10000,2020492.9988330274,1,252
flow_35,30,40,1000000,2028510.828193476,1,253
flow_2966,20,46,100000,2036528.6575539245,1,254
flow_2134,5,6,100000,2044546.486914373,1,255
flow_2533,31,36,100000,2052564.3162748215,1,256
flow_4141,25,37,10000,2060582.14563527,1,257
flow_1996,4,54,100000,2068599.9749957186,1,258
flow_2861,1,8,100000,2076617.804356167,1,259
flow_1386,41,47,100000,2084635.6337166156,1,260
flow_5854,15,54,10000,2092653.4630770641,1,261
flow_2402,19,55,100000,2100671.2924375124,1,262
flow_2135,25,56,100000,2108689.1217979607,1,263
flow_2320,52,63,100000,2116706.951158409,1,264
flow_1304,16,36,100000,2124724.7805188573,1,265
flow_5051,34,26,10000,2132742.6098793056,1,266
flow_671,58,18,1000000,2140760.439239754,1,267
flow_2194,3,6,100000,2148778.268600202,1,268
flow_1923,57,56,100000,2156796.0979606505,1,269
flow_2805,39,11,100000,2164813.9273210987,1,270
flow_3838,8,23,10000,2172831.756681547,1,271
flow_3854,50,28,10000,2180849.5860419953,1,272
flow_3454,17,32,10000,2188867.4154024436,1,273
flow_4388,60,1,10000,2196885.244762892,1,274
flow_5194,32,33,10000,2204903.07412334,1,275
flow_2876,50,33,100000,2212920.9034837885,1,276
flow_2491,45,7,100000,2220938.732844237,1,277
flow_2289,46,14,100000,2228956.562204685,1,278
flow_1016,30,7,1000000,2236974.3915651334,1,279
flow_3552,38,7,10000,2244992.2209255816,1,280
flow_2312,58,53,100000,2253010.05028603,1,281
flow_3369,62,5,10000,2261027.879646478,1,282
flow_3081,50,34,10000,2269045.7090069265,1,283
flow_5605,23,60,10000,2277063.538367375,1,284
flow_92,26,60,1000000,2285081.367727823,1,285
flow_1884,13,20,100000,2293099.1970882714,1,286
flow_3343,21,8,10000,2301117.0264487197,1,287
flow_656,59,45,1000000,2309134.855809168,1,288
flow_68,26,29,1000000,2317152.6851696162,1,289
flow_1324,41,2,100000,2325170.5145300645,1,290
flow_5583,21,24,10000,2333188.343890513,1,291
flow_4345,31,46,10000,2341206.173250961,1,292
flow_2760,5,40,100000,2349224.0026114094,1,293
flow_5373,0,31,10000,2357241.8319718577,1,294
flow_5331,10,53,10000,2365259.661332306,1,295
flow_2705,43,42,100000,2373277.4906927543,1,296
flow_3137,11,50,10000,2381295.3200532026,1,297
flow_5380,42,15,10000,2389313.149413651,1,298
flow_4589,17,42,10000,2397330.978774099,1,299
flow_1317,52,24,100000,2405348.8081345474,1,300
flow_1828,37,50,100000,2413366.6374949957,1,301
flow_2600,3,27,100000,2421384.466855444,1,302
flow_5562,15,28,10000,2429402.2962158923,1,303
flow_4278,49,28,10000,2437420.1255763406,1,304
flow_2355,32,44,100000,2445437.954936789,1,305
flow_3647,15,53,10000,2453455.784297237,1,306
flow_5841,14,42,10000,2461473.6136576855,1,307
flow_3300,62,57,10000,2469491.4430181338,1,308
flow_1951,26,8,100000,2477509.272378582,1,309
flow_3446,49,12,10000,2485527.1017390303,1,310
flow_5956,57,37,10000,2493544.9310994786,1,311
flow_2494,46,32,100000,2501562.760459927,1,312
flow_4936,44,20,10000,2509580.589820375,1,313
flow_1896,48,27,100000,2517598.4191808235,1,314
flow_5069,53,6,10000,2525616.248541272,1,315
flow_4588,54,15,10000,2533634.07790172,1,316
